time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-10-24T20:56:50.769Z,62.1384,-147.4922,22.1,2.6,ml,,,,0.83,ak,ak020dp6e79o,2020-10-25T19:49:43.143Z,"27 km NW of Eureka Roadhouse, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-10-24T20:36:44.205Z,54.5342,-159.5942,14,3.2,ml,,,,0.72,ak,ak020dp69wg0,2020-10-25T05:29:56.260Z,"106 km SSE of Sand Point, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2020-10-24T20:12:21.763Z,44.5325,-115.2539,16.93,2.5,ml,,61,0.439,0.33,us,us6000ccrv,2020-10-25T04:14:57.158Z,"43 km NW of Stanley, Idaho",earthquake,2.4,9.3,0.064,32,reviewed,us,us
2020-10-24T19:58:16.318Z,55.9601,-149.2808,11.9,3.3,ml,,,,0.6,ak,ak020dp5t3yx,2020-10-25T05:22:45.174Z,"259 km SE of Chiniak, Alaska",earthquake,,4.1,,,reviewed,ak,ak
2020-10-24T19:37:44.814Z,44.306,-115.1707,17.32,3.4,ml,,64,0.272,0.67,us,us6000ccq4,2020-10-26T18:19:13.040Z,"20 km WNW of Stanley, Idaho",earthquake,1.6,9.5,0.034,116,reviewed,us,us
2020-10-24T19:27:03.060Z,32.3905,-115.2375,11.73,2.83,ml,30,84,0.064,0.3,ci,ci39443999,2020-10-27T19:35:43.050Z,"6km NW of Delta, B.C., MX",earthquake,0.54,0.8,0.278,13,reviewed,ci,ci
2020-10-24T17:58:52.853Z,56.4485,-147.591,20.96,4.8,mww,,135,3.033,0.49,us,us6000ccph,2020-10-27T16:48:27.912Z,"Gulf of Alaska",earthquake,6.2,3.5,0.05,39,reviewed,us,us
2020-10-24T17:18:27.736Z,62.1524,-124.3921,3.73,4,mb,,81,1.162,0.66,us,us6000ccp5,2020-10-24T17:36:00.040Z,"Northwest Territories, Canada",earthquake,4.4,6.8,0.367,2,reviewed,us,us
2020-10-24T16:18:47.713Z,62.2544,-124.4288,6.49,4.7,mb,,33,1.074,0.85,us,us6000ccnk,2020-10-26T18:25:54.040Z,"Northwest Territories, Canada",earthquake,4.7,2.9,0.029,354,reviewed,us,us
2020-10-24T14:42:06.747Z,60.9028,-147.6105,8.5,2.8,ml,,,,0.54,ak,ak020dp2qi5w,2020-10-24T18:22:22.040Z,"50 km W of Tatitlek, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2020-10-24T13:02:12.026Z,54.1979,-159.6258,18.63,4.2,mb,,215,0.634,0.68,us,us6000cclm,2020-10-24T19:53:23.137Z,"138 km SSE of Sand Point, Alaska",earthquake,9,10.6,0.215,6,reviewed,us,us
2020-10-24T12:35:18.269Z,54.5293,-159.5864,26.02,4.1,mb,,160,0.302,1.06,us,us6000cclc,2020-10-24T13:05:25.040Z,"107 km SSE of Sand Point, Alaska",earthquake,5.9,6.5,0.173,9,reviewed,us,us
2020-10-24T12:27:35.140Z,33.9045,-117.6201667,3.66,2.56,ml,181,22,0.01958,0.22,ci,ci39443703,2020-10-27T17:11:18.250Z,"6km NW of Corona, CA",earthquake,0.09,0.27,0.216,36,reviewed,ci,ci
2020-10-24T11:42:05.162Z,66.6622,-146.9924,10.6,2.5,ml,,,,1.17,ak,ak020dp0y7b0,2020-10-24T12:50:48.040Z,"38 km NNE of Beaver, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-10-24T10:41:33.823Z,54.2054,-159.7747,16.7,3.2,ml,,,,0.5,ak,ak020dp0cm9f,2020-10-24T19:22:58.846Z,"134 km SSE of Sand Point, Alaska",earthquake,,2.5,,,reviewed,ak,ak
2020-10-24T10:17:55.850Z,38.7671661,-122.6973343,2.13,2.9,md,54,46,0.001825,0.08,nc,nc73474556,2020-10-26T19:17:52.869Z,"1km SSW of Anderson Springs, CA",earthquake,0.18,0.35,0.13,54,automatic,nc,nc
2020-10-24T10:11:09.314Z,25.9108,-110.3777,10,4.7,mb,,161,2.179,1.17,us,us6000ccj8,2020-10-24T15:40:14.956Z,"97 km E of Loreto, Mexico",earthquake,6.3,1.9,0.048,132,reviewed,us,us
2020-10-24T09:33:28.053Z,39.6965,-105.6765,1.12,2.5,ml,,80,0.114,0.28,us,us6000ccis,2020-10-25T04:47:28.040Z,"2 km ESE of Georgetown, Colorado",earthquake,1.8,2.2,0.051,57,reviewed,us,us
2020-10-24T07:19:25.360Z,44.1266667,-115.0941667,9.53,2.5,ml,12,80,0.247,0.29,mb,mb80471949,2020-10-27T14:38:33.870Z,"16 km SW of Stanley, Idaho",earthquake,0.83,1.57,0.146,11,reviewed,mb,mb
2020-10-24T06:53:39.950Z,39.366,-123.2425,7.53,2.51,md,43,54,0.07041,0.08,nc,nc73474511,2020-10-27T21:11:04.955Z,"11km ESE of Willits, CA",earthquake,0.15,0.29,0.174,45,reviewed,nc,nc
2020-10-24T06:50:06.794Z,54.2357,-159.7234,23.91,4.1,mb,,177,0.601,0.83,us,us6000cchl,2020-10-24T19:10:26.591Z,"132 km SSE of Sand Point, Alaska",earthquake,5.5,7.2,0.14,14,reviewed,us,us
2020-10-24T06:48:12.062Z,54.1002,-159.5782,20.39,4,mb,,182,0.732,0.74,us,us6000ccpt,2020-10-25T05:54:18.763Z,"149 km SSE of Sand Point, Alaska",earthquake,6.7,6.5,0.196,7,reviewed,us,us
2020-10-24T06:13:38.684Z,38.1827,-117.7672,9,2.8,ml,34,59.26,0.048,0.1661,nn,nn00780182,2020-10-24T19:49:46.983Z,"37 km SE of Mina, Nevada",earthquake,,0.9,0.37,18,reviewed,nn,nn
